device_id,name,group,type,match_reason,from_ip,to_ip,from_port,to_port,from_user,to_user,from_telnet,to_telnet,payload_kind,will_change_structural
7d2764c0-898c-4d1b-a323-00aab47f4795,Autenticador RB 4011,World Fibra,MikroTik RouterOS,ip+kind,128.201.94.56,128.201.94.56,15422,8291,ajust,ajust,False,False,router,True
025a551e-b0cf-477c-853c-1bb173428d0b,PIX FIBRA - OLT HW - SURFIX,Pix Fibra,OLT Huawei,name_unique,172.31.255.17,172.31.255.17,22,22,ajust@emfibra,ajust@emfibra,False,False,olt,False
8c031f55-c69a-4e8e-8fd8-a58c134af61c,Gerencia RB 1036 Infotel,Infotel,MikroTik RouterOS,ip+kind,170.150.139.249,170.150.139.249,26504,29679,ajust,infotel,False,False,router,True
37bff08a-d3f2-4aae-8676-5071da589cf6,MAS-NET-PAULISTA - CONCENTRADOR01,Mais.Net,MikroTik RouterOS,ip+kind,170.79.170.16,170.79.170.16,15423,7691,ajust,ajust,False,False,router,True
358a7cde-4eaf-4859-a6dd-f0c615222d76,CCR 1009 Rondotur,I4 Telecom,MikroTik RouterOS,ip+kind,45.187.169.162,45.187.169.162,15422,1440,ajust,ajust,False,False,router,True
0bbce5f5-417d-451c-ace7-9540afdc659d,INFOTEL - SW HW S6730 - APITO,Infotel,Switch Huawei,name_unique,10.10.10.121,10.10.10.121,26504,26504,ajustconsulting,ajustconsulting,False,False,switch,False
467c3449-a6d8-49b3-8906-f9558b7ad8f6,I4 TELECOM - SW DM - PRESIDENTE KENNEDY,I4 Telecom,Switch Datacom,name_unique,10.35.0.2,10.35.0.2,22,22,ajust,ajust,False,False,switch,False
de0e305b-3481-401a-a6c6-caede5501d20,PIX FIBRA - OLT HW - ARABAIANA-02,Pix Fibra,OLT Huawei,name_unique,172.31.255.13,172.31.255.13,22,22,flashnet@emfibra,flashnet@emfibra,False,False,olt,False
09a5e5e2-4b8d-4264-a04b-4638737cd6ae,TC+ FIBRA - SW HW 6720 - CORE,TC+ Fibra (Agility),Switch Huawei,name_unique,172.31.0.2,172.31.0.2,2295,2295,arthur,arthur,False,False,switch,False
136e5c3c-497b-4f43-b177-3805eb7dad74,SW-BKB-TIMBAUBA,PlanaltoNet,Switch Huawei,ip+kind,10.200.60.1,10.200.60.1,22,22,ajust,ajust,False,False,switch,False
