device_id,name,group,type,ip_address,port,username,name_matches,ip_kind_matches
0e2cc98c-116a-48e0-9cb4-1ee62f9d5f07,SW-HUAWEI-CENTRAL-CONECT-NOVO,Conect Fibra,Switch Huawei,45.5.88.78,22459,ajust,0,0
7d2764c0-898c-4d1b-a323-00aab47f4795,Autenticador RB 4011,World Fibra,MikroTik RouterOS,128.201.94.56,15422,ajust,0,0
8c031f55-c69a-4e8e-8fd8-a58c134af61c,Gerencia RB 1036 Infotel,Infotel,MikroTik RouterOS,170.150.139.249,26504,ajust,0,0
37bff08a-d3f2-4aae-8676-5071da589cf6,MAS-NET-PAULISTA - CONCENTRADOR01,Mais.Net,MikroTik RouterOS,170.79.170.16,15423,ajust,0,0
358a7cde-4eaf-4859-a6dd-f0c615222d76,CCR 1009 Rondotur,I4 Telecom,MikroTik RouterOS,45.187.169.162,15422,ajust,0,0
c14b14f7-1941-48f6-8ad5-156a42541ff6,AUTENTICADOR -  1009 - UPATININGA,LL Telecom - Cliente Cancelado,MikroTik RouterOS,189.84.114.244,15424,ajust,0,0
ff9e98e7-ebc4-4240-94a2-c60e8675c0fa,PE 02 POP PAU AMARELO,I4 Telecom,MikroTik RouterOS,45.187.169.228,15422,ajust,0,0
41672f58-6032-4f87-8bc0-faf4f8c37a9c,CCR1072-GERENCIA-WELLNET,Well Fibra,MikroTik RouterOS,190.89.145.21,22022,ajust,0,0
f58cbd95-2907-4fcf-865b-f190de9e78e5,ROUTER - BORDA MIKROTIK 1016 (antigo bgp) ROSARINHO,Future Telecom - Cliente Cancelado,MikroTik RouterOS,45.168.142.132,15422,ajust,0,0
4e7aa812-41de-45c2-b901-e246d6f0cefa,SWITCH  HUAWEI  5732 CORE IPOJUCA,Rio Net,Switch Huawei,45.162.226.74,22359,ajust,0,0
c43e2fd2-be91-4cb2-b0e3-5eb44bf69f88,OLT-DATACOM-DM4615-PINDORAMA,Infotel,OLT ZTE,170.150.136.56,26101,ajust,0,0
